Quarter_ID,Manager_ID,Stock_ID,Market_Value
1,26,21,349000
1,37,75,177000
1,37,419,330000
1,40,201,297000
1,40,236,361000
1,40,331,1010000
1,40,30,701000
1,40,94,460000
1,43,257,467000
1,45,474,254000
1,54,299,718000
1,54,118,702000
1,54,497,1002000
1,62,345,739000
1,62,34,5000
1,62,92,171000
1,84,346,157000
1,84,284,524000
1,84,320,1139000
1,84,211,618000
1,84,229,283000
1,84,3,770000
1,84,384,470000
1,84,83,507000
1,84,142,420000
1,84,412,913000
1,84,464,674000
1,112,317,850000
1,112,11,401000
1,113,130,434000
1,113,290,363000
1,113,494,63000
1,113,263,483000
1,130,212,1600000
1,134,371,420000
1,134,131,251000
1,134,338,727000
1,142,311,10000
1,142,71,882000
1,142,252,735000
1,142,382,590000
1,142,421,1659000
1,148,126,232000
1,150,470,1167000
1,153,195,617000
1,153,4,1320000
1,160,96,599000
1,160,271,566000
1,160,39,1189000
1,160,152,1236000
1,160,318,346000
1,160,319,1372000
1,160,253,1059000
1,165,411,1209000
1,165,214,37000
1,165,471,280000
1,165,12,612000
1,165,176,105000
1,165,332,1358000
1,165,246,277000
1,167,500,239000
1,167,113,782000
1,167,435,343000
1,167,459,790000
1,167,24,210000
1,175,185,123000
1,179,45,316000
1,179,53,214000
1,179,279,666000
1,179,120,231000
1,179,128,7000
1,179,467,439000
1,179,61,667000
1,179,72,2026000
1,179,112,169000
1,187,149,327000
1,187,56,682000
1,187,496,1482000
1,191,76,914000
1,198,28,880000
1,203,38,487000
1,203,141,144000
1,203,436,579000
1,203,173,177000
1,203,206,614000
1,203,278,645000
1,221,64,18000
1,221,49,545000
1,229,134,440000
1,229,288,558000
1,229,361,317000
1,233,418,2111000
1,233,425,188000
1,234,67,362000
1,234,80,879000
1,234,376,404000
1,234,228,214000
1,234,326,845000
1,234,54,863000
1,234,90,594000
2,25,102,2190000
2,25,308,1842000
2,25,114,1897000
2,25,270,1970000
2,97,130,3237000
2,103,67,416000
2,103,423,2450000
2,103,288,4157000
2,103,303,2088000
2,103,42,327000
2,103,40,261000
2,103,228,5922000
2,103,180,1245000
2,103,110,202000
2,103,197,1337000
2,103,217,366000
2,103,312,261000
2,103,135,2676000
2,103,45,350000
2,103,441,290000
2,103,181,2763000
2,103,328,1987000
2,103,466,1172000
2,103,477,5000
2,144,455,2639000
2,144,132,784000
2,144,219,66000
2,144,348,283000
2,144,383,2888000
2,144,49,770000
2,144,285,2132000
2,161,366,470000
2,161,232,242000
2,161,475,487000
2,161,220,215000
2,161,167,2789000
2,161,86,319000
2,161,11,672000
2,161,491,2177000
2,161,96,1126000
2,161,182,208000
2,161,415,763000
2,161,121,623000
2,161,57,567000
2,170,141,304000
2,170,51,472000
2,170,146,1307000
2,170,323,953000
2,170,150,578000
2,170,52,343000
2,170,214,439000
2,170,154,375000
2,170,346,88000
2,170,247,581000
2,170,94,144000
2,170,345,616000
2,170,425,363000
2,170,353,454000
2,170,192,964000
2,170,443,947000
2,170,124,1871000
2,170,352,286000
2,170,215,309000
2,170,437,1169000
2,178,386,684000
2,178,435,297000
2,178,145,904000
2,178,274,727000
2,178,209,325000
2,178,191,565000
2,178,245,527000
2,178,120,204000
2,178,198,358000
2,178,84,270000
2,178,485,408000
2,178,471,1005000
2,178,399,515000
2,178,495,432000
2,178,242,5071000
2,178,185,460000
2,178,341,1129000
2,191,1,980000
2,191,17,383000
2,191,236,1100000
2,191,162,477000
2,191,389,867000
2,191,81,261000
2,191,420,582000
2,191,244,754000
2,191,262,464000
2,191,370,441000
2,191,224,635000
2,191,176,547000
2,191,320,540000
2,191,105,244000
2,191,250,1467000
2,209,264,237000
2,209,240,1451000
2,209,58,1999000
2,209,403,278000
3,6,64,213000
3,6,313,104000
3,6,405,1157000
3,6,355,204000
3,6,455,234000
3,6,109,228000
3,6,379,439000
3,6,390,276000
3,6,107,31000
3,12,225,21000
3,12,430,294000
3,12,382,253000
3,12,429,336000
3,12,283,176000
3,12,397,259000
3,12,145,153000
3,12,418,243000
3,12,166,234000
3,12,99,940000
3,18,14,263000
3,18,365,867000
3,18,327,381000
3,18,453,1495000
3,57,213,1308000
3,57,200,244000
3,57,495,224000
3,57,244,207000
3,57,1,105000
3,57,147,122000
3,73,303,278000
3,73,443,316000
3,73,179,1155000
3,73,472,296000
